,stimuli,condition,elo
0,denting a car with a dumbbell_improbable,improbable,1400.251632790672
1,cooling a room using a taste_inconceivable,inconceivable,1371.4193076973247
2,painting a wall using a whisper_inconceivable,inconceivable,1371.71114638332
3,crafting a bowl out of smoke_impossible,impossible,1458.556075626292
4,filling a bucket with buildings_impossible,impossible,1374.045273462784
5,sewing a shirt using a toothpick_improbable,improbable,1296.301496377527
6,building a bridge out of plastic_improbable,improbable,1357.7626006294129
7,squishing a blueberry using [POSS] nose_improbable,improbable,1330.84274721782
8,cutting cardboard using a snore_inconceivable,inconceivable,1387.459734295922
9,hanging a painting using a handshake_inconceivable,inconceivable,1356.5196381347246
10,cleaning a spill using a country_inconceivable,inconceivable,1356.674151323851
11,crushing a soda can using a chair_improbable,improbable,1398.4399599182102
12,cooking dinner out of the moon_impossible,impossible,1367.2795312307276
13,taking a vacation to the sun_impossible,impossible,1324.616639649526
14,baking a cake inside a sigh_inconceivable,inconceivable,1426.3313128564332
15,plucking a hair using sympathy_inconceivable,inconceivable,1398.6943175028225
16,carving a statue using a sock_impossible,impossible,1383.1782040574933
17,digging a hole using dirt_impossible,impossible,1344.3721059811915
18,drying laundry using a fan_improbable,improbable,1439.1275387805663
19,unlocking a door using a marshmallow_impossible,impossible,1357.0195224836452
20,carrying groceries inside a backpack_improbable,improbable,1358.0104832786592
21,writing an equation on a scream_inconceivable,inconceivable,1293.937017424072
22,shaving [POSS] beard using a belief_inconceivable,inconceivable,1439.973218523067
23,catching a fish in a puddle_improbable,improbable,1441.7296424487722
24,eating soup using a bucket_improbable,improbable,1424.0586180914074
25,drinking a cup full of minutes_inconceivable,inconceivable,1342.3787689023
26,packing a suit inside a pocket_improbable,improbable,1443.6081965364715
27,polishing jewelry using a chainsaw_impossible,impossible,1409.0909103746778
28,lighting a candle using yogurt_impossible,impossible,1413.5103424416368
29,shattering a window using confetti_impossible,impossible,1357.09986557867
