sentence,label,possible,impossible
Someone is about to be born with 12 toes.,improbable,0.8918918918918919,0.10810810810810811
Someone is about to be born with 2 feet.,possible,1.0,0.0
Someone is about to be born with 2 wings.,impossible,0.07894736842105263,0.9210526315789473
Someone is about to buy a large rock.,possible,0.9487179487179487,0.05128205128205128
Someone is about to clean a car.,possible,1.0,0.0
Someone is about to clean a cloud.,impossible,0.05,0.95
Someone is about to clean a road.,improbable,0.9743589743589743,0.02564102564102564
Someone is about to count all of the hairs on a dog.,improbable,0.2972972972972973,0.7027027027027027
Someone is about to count all of the sand in the world.,impossible,0.025,0.975
Someone is about to count all of the students in a room.,possible,1.0,0.0
Someone is about to cut the line to go into the store.,improbable,1.0,0.0
Someone is about to eat a brownie for dessert.,possible,1.0,0.0
Someone is about to eat a large rock.,impossible,0.19444444444444445,0.8055555555555556
Someone is about to eat a lollipop.,possible,1.0,0.0
Someone is about to eat a pickle for dessert.,improbable,0.95,0.05
Someone is about to eat a planet.,impossible,0.025,0.975
Someone is about to eat a rainbow for dessert.,impossible,0.0,1.0
Someone is about to eat a whole sandwich for dinner.,possible,1.0,0.0
Someone is about to eat a whole turkey for dinner.,improbable,0.9,0.1
Someone is about to eat a whole whale for dinner.,impossible,0.02631578947368421,0.9736842105263158
Someone is about to eat an insect.,improbable,0.9743589743589743,0.02564102564102564
Someone is about to find a monkey in a closet.,improbable,0.7368421052631579,0.2631578947368421
Someone is about to find a sweater in a closet.,possible,1.0,0.0
Someone is about to find a unicorn in a closet.,impossible,0.075,0.925
Someone is about to have a cat as a pet.,possible,1.0,0.0
Someone is about to have a lion as a pet.,improbable,0.6666666666666666,0.3333333333333333
Someone is about to have the moon as a pet.,impossible,0.02564102564102564,0.9743589743589743
Someone is about to know the name of someone they just met.,possible,0.9705882352941176,0.029411764705882353
Someone is about to know the names of everyone in the world.,impossible,0.02564102564102564,0.9743589743589743
Someone is about to know the names of everyone they ever met.,improbable,0.5526315789473685,0.4473684210526316
Someone is about to live for 1000 years.,impossible,0.0,1.0
Someone is about to live for 110 years.,improbable,1.0,0.0
Someone is about to live for 60 years.,possible,1.0,0.0
Someone is about to magically appear into the store.,impossible,0.05263157894736842,0.9473684210526315
Someone is about to make a house out of bricks.,possible,0.975,0.025
Someone is about to make a house out of gas.,impossible,0.0,1.0
Someone is about to make a house out of grass.,improbable,0.5135135135135135,0.4864864864864865
Someone is about to make their friend cry.,improbable,1.0,0.0
Someone is about to make their friend shrink.,impossible,0.07894736842105263,0.9210526315789473
Someone is about to make their friend smile.,possible,1.0,0.0
Someone is about to move a marble with their breath.,improbable,0.8205128205128205,0.1794871794871795
Someone is about to move a marble with their hand.,possible,1.0,0.0
Someone is about to move a marble with their mind.,impossible,0.05128205128205128,0.9487179487179487
Someone is about to not eat for 1 hour.,possible,1.0,0.0
Someone is about to not eat for 10 days.,improbable,0.8108108108108109,0.1891891891891892
Someone is about to not eat for 100 days.,impossible,0.05405405405405406,0.9459459459459459
Someone is about to open a window with their breath.,impossible,0.13513513513513514,0.8648648648648649
Someone is about to open a window with their feet.,improbable,0.8974358974358975,0.10256410256410256
Someone is about to open a window with their hand.,possible,1.0,0.0
Someone is about to paint polka dots on a cloud.,impossible,0.025,0.975
Someone is about to paint polka dots on a plane.,improbable,0.925,0.075
Someone is about to paint polka dots on a wall.,possible,1.0,0.0
Someone is about to play with a toy.,possible,1.0,0.0
Someone is about to play with a wolf.,improbable,0.8,0.2
Someone is about to play with magic.,impossible,0.4358974358974359,0.5641025641025641
Someone is about to ride a cow.,improbable,0.85,0.15
Someone is about to ride a horse.,possible,1.0,0.0
Someone is about to ride an ogre.,impossible,0.07692307692307693,0.9230769230769231
Someone is about to shake someone's hand with their hand.,possible,1.0,0.0
Someone is about to shake someone's hand with their mind.,impossible,0.02631578947368421,0.9736842105263158
Someone is about to shake someone's hand with their mouth.,improbable,0.5641025641025641,0.4358974358974359
Someone is about to stay awake for 5 days.,improbable,0.525,0.475
Someone is about to stay awake for 5 hours.,possible,1.0,0.0
Someone is about to stay awake for 5 years.,impossible,0.05128205128205128,0.9487179487179487
Someone is about to steal a large rock.,improbable,0.975,0.025
Someone is about to turn an onion into apple juice.,impossible,0.0,1.0
Someone is about to turn an onion into onion juice.,improbable,0.9230769230769231,0.07692307692307693
Someone is about to turn an onion into onion slices.,possible,0.9736842105263158,0.02631578947368421
Someone is about to unlock a door with a doorkey.,possible,1.0,0.0
Someone is about to unlock a door with a toothpick.,improbable,0.6666666666666666,0.3333333333333333
Someone is about to unlock a door with their mind.,impossible,0.05,0.95
Someone is about to wait in line to go into the store.,possible,1.0,0.0
Someone is about to walk through a brick wall.,impossible,0.10256410256410256,0.8974358974358975
Someone is about to walk through a hot fire.,improbable,0.6153846153846154,0.38461538461538464
Someone is about to walk through an open door.,possible,1.0,0.0
Someone is about to wear shoes made out of leather.,possible,1.0,0.0
Someone is about to wear shoes made out of light.,impossible,0.05,0.95
Someone is about to wear shoes made out of stone.,improbable,0.4594594594594595,0.5405405405405406
