sentence,Ranked Inconceivability
A man feeling regretful.,1.4107142857142858
A boy being entertained by a podcast.,1.3928571428571428
Adding the number 20 to 79.,2.3214285714285716
A shirt being surprised by a news article.,7.642857142857143
An inch being greater than 10.,5.232142857142857
A girl being a prime number.,5.982142857142857
Dividing 12 by a mile.,5.053571428571429
A month being amused by a TV show.,7.839285714285714
A door being a multiple of 5.,5.642857142857143
An inch applying for a job.,8.339285714285714
Taking the square root of a toddler.,7.339285714285714
The number 13 writing a play.,7.803571428571429
