,sentence,model probability,human probability
0,Someone is about to be born with 12 toes.,0.66220593,0.8918918918918919
1,Someone is about to be born with 2 feet.,0.6216124,1.0
2,Someone is about to be born with 2 wings.,0.61889565,0.07894736842105277
3,Someone is about to buy a large rock.,0.68094087,0.9487179487179488
4,Someone is about to clean a car.,0.70129114,1.0
5,Someone is about to clean a cloud.,0.57164454,0.050000000000000044
6,Someone is about to clean a road.,0.62196183,0.9743589743589745
7,Someone is about to count all of the hairs on a dog.,0.5744852,0.29729729729729726
8,Someone is about to count all of the sand in the world.,0.589988,0.025000000000000022
9,Someone is about to count all of the students in a room.,0.5269306,1.0
10,Someone is about to cut the line to go into the store.,0.57069814,1.0
11,Someone is about to eat a brownie for dessert.,0.6252775,1.0
12,Someone is about to eat a large rock.,0.6950338,0.19444444444444442
13,Someone is about to eat a lollipop.,0.69828224,1.0
14,Someone is about to eat a pickle for dessert.,0.6222937,0.95
15,Someone is about to eat a planet.,0.69478434,0.025000000000000022
16,Someone is about to eat a rainbow for dessert.,0.64301187,0.0
17,Someone is about to eat a whole sandwich for dinner.,0.6360749,1.0
18,Someone is about to eat a whole turkey for dinner.,0.68211436,0.9
19,Someone is about to eat a whole whale for dinner.,0.6544161,0.02631578947368418
20,Someone is about to eat an insect.,0.71406025,0.9743589743589745
21,Someone is about to find a monkey in a closet.,0.62519866,0.736842105263158
22,Someone is about to find a sweater in a closet.,0.53603077,1.0
23,Someone is about to find a unicorn in a closet.,0.68154716,0.07499999999999996
24,Someone is about to have a cat as a pet.,0.6568218,1.0
25,Someone is about to have a lion as a pet.,0.62988967,0.6666666666666667
26,Someone is about to have the moon as a pet.,0.59361213,0.02564102564102555
27,Someone is about to know the name of someone they just met.,0.5793928,0.9705882352941178
28,Someone is about to know the names of everyone in the world.,0.62721026,0.02564102564102555
29,Someone is about to know the names of everyone they ever met.,0.55420077,0.5526315789473684
30,Someone is about to live for 1000 years.,0.72032654,0.0
31,Someone is about to live for 110 years.,0.67330456,1.0
32,Someone is about to live for 60 years.,0.6797047,1.0
33,Someone is about to magically appear into the store.,0.5040486,0.05263157894736836
34,Someone is about to make a house out of bricks.,0.6803075,0.975
35,Someone is about to make a house out of gas.,0.5976403,0.0
36,Someone is about to make a house out of grass.,0.6432669,0.5135135135135135
37,Someone is about to make their friend cry.,0.70427597,1.0
38,Someone is about to make their friend shrink.,0.49623346,0.07894736842105277
39,Someone is about to make their friend smile.,0.67006385,1.0
40,Someone is about to move a marble with their breath.,0.46670383,0.8205128205128205
41,Someone is about to move a marble with their hand.,0.57069814,1.0
42,Someone is about to move a marble with their mind.,0.58958066,0.05128205128205121
43,Someone is about to not eat for 1 hour.,0.51765084,1.0
44,Someone is about to not eat for 10 days.,0.6204627,0.8108108108108107
45,Someone is about to not eat for 100 days.,0.61169624,0.054054054054053946
46,Someone is about to open a window with their breath.,0.64110565,0.1351351351351351
47,Someone is about to open a window with their feet.,0.64824647,0.8974358974358975
48,Someone is about to open a window with their hand.,0.6325082,1.0
49,Someone is about to paint polka dots on a cloud.,0.5054079,0.025000000000000022
50,Someone is about to paint polka dots on a plane.,0.48170376,0.925
51,Someone is about to paint polka dots on a wall.,0.5449544,1.0
52,Someone is about to play with a toy.,0.73560154,1.0
53,Someone is about to play with a wolf.,0.68113464,0.8
54,Someone is about to play with magic.,0.7597472,0.4358974358974359
55,Someone is about to ride a cow.,0.7124752,0.85
56,Someone is about to ride a horse.,0.7618774,1.0
57,Someone is about to ride an ogre.,0.65364635,0.07692307692307676
58,Someone is about to shake someone's hand with their hand.,0.5449544,1.0
59,Someone is about to shake someone's hand with their mind.,0.5181085,0.02631578947368418
60,Someone is about to shake someone's hand with their mouth.,0.5296478,0.5641025641025641
61,Someone is about to stay awake for 5 days.,0.6318502,0.525
62,Someone is about to stay awake for 5 hours.,0.59103036,1.0
63,Someone is about to stay awake for 5 years.,0.6042762,0.05128205128205121
64,Someone is about to steal a large rock.,0.68349385,0.975
65,Someone is about to turn an onion into apple juice.,0.5255747,0.0
66,Someone is about to turn an onion into onion juice.,0.5011046,0.9230769230769231
67,Someone is about to turn an onion into onion slices.,0.4165064,0.9736842105263158
68,Someone is about to unlock a door with a doorkey.,0.4985445,1.0
69,Someone is about to unlock a door with a toothpick.,0.45570338,0.6666666666666667
70,Someone is about to unlock a door with their mind.,0.6192815,0.050000000000000044
71,Someone is about to wait in line to go into the store.,0.5176509,1.0
72,Someone is about to walk through a brick wall.,0.7461889,0.10256410256410253
73,Someone is about to walk through a hot fire.,0.6454568,0.6153846153846154
74,Someone is about to walk through an open door.,0.74369293,1.0
75,Someone is about to wear shoes made out of leather.,0.5622846,1.0
76,Someone is about to wear shoes made out of light.,0.53706825,0.050000000000000044
77,Someone is about to wear shoes made out of stone.,0.54830104,0.45945945945945943
